Nome,Código,Força,Velocidade,Inteligência,Poderes,Curiosidade1,Curiosidade2,Curiosidade3,SuperTrunfo
Thánatos,1G,91,85,84,91,É a personificação da morte na mitologia grega,Representado comumente por uma nevoa,Filho dos deuses primordiais Érebo e Nix,True 
Caos,2G,89,88,81,92,O primeiro deus primordial na mitologia grega,É a personificação do vazio original ou o ar que preenchia o espaço entre a Terra e o Éter (céu superior),Criou os filhos Nix e Érebo a partir dele mesmo,False 
Érebo ,3G,88,79,75,89,É a personificação das trevas e da escuridão no universo mitologia grega,"Dominava as partes do universo conhecidas como ""vácuo"" ",Pode ver a morte de uma pessoa com apenas um simples contato fisico,False 
Nix,4G,86,90,85,96,É a personificação da noite profunda na mitologia grega,Temida e respeitada por todos os outros deuses por se acreditar tinha total controle sobre vida e morte tanto de homens como de deuses,Apesar de estar ligada a escuridao seus poderes não estavam so ligados a isso tinha dominio sobre a luz trazer vida iluminar as trevas e trazer fertilidade,False 
Gaia,5G,82,78,90,90,Simboliza a Terra na mitologia grega possui a força da natureza,Criou Ponto Urano e as montanhas,Se casou com Urano e foi a mãe dos doze Titãs,False 
Cronos,6G,97,76,90,98,O mais jovem dos Titãs fillho de Gaia com Urano Por seu pai aprisionar ele seus irmãos e irmãs cortou ele em varios em varios pedaços com uma foice dada pela propria Gaia,Era o deus do tempo e se tornou o primeiro Rei dos deuses apos destituir seu pai,Por causa de uma profecia que dizia que ia ser destronado por um de seus filhos Cronos acaba engolindo todos os filhos e filhas quando nascem,False 
Zeus,7G,96,85,86,95,Filho de Reia com Cronos o unico filho que não foi comido por seu pai porque sua mãe entregou uma pedra embrulhada como um bebe para Cronos  quando cresceu derrotou seu pai e libertou seu irmãos e irmãs se tornou o Rei dos deuses e comanda os deuses ate o que seria os dias de hoje,Ao matar Cronos que era o deus do tempo teria conquistado a imortalidade para os deuses,É o detentor do raio e era o deus dos céus do raio e do trovão,False 
Poseidon,8G,95,90,89,94,"Deus do mar dos terremotos e das tempestades e um dos 3 grandes, junto de seus irmãos Zeus e Hades",Os gregos acreditavam que Poseidon era um deus domador de cavalos e o responsavel por sua reprodução e acreditavam que o ato de cavalgar e a utilização de carruagem foram introduzidos entre os humanos por ele,Com sua irmã Demeter teve dois filhos gemeos Arion um cavalo divino imortal e Despina a deusa do inverno e geadas,False 
Hades,1E,94,88,92,93,É o deus do submundo sendo o senhor desse dominio e responsavel por deixar que as almas dos mortos não retornassem ao mundo dos vivos,Se apaixonou por Perséfone que é filha de Deméter e acabou raptando ela para ter como sua rainha,Tinha um cão de guarda de 3 cabeças para ajudar a proteger o saida do submundo ,False 
Hera,2E,90,80,88,94,Deusa das mulheres dos casamentos da familia e dos nascimentos,Casada com Zeus então era vista como rainha dos deuses,Chamada de Juno pelos romanos,False 
Atena,3E,85,90,97,88,A deusa da sabedoria muito associada a guerra pelo lado estrategico,O animal que representa ela é a coruja,Por causa de uma disputa para ser o padroeiros de uma cidade estado para homenagear e levar o nome de um deus que é cidade de Atenas hoje Atenas e Poseidon se odeiam,False 
